,2008-2012,2013,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Berovo Rain,71.8,80,5,10,10,4,7,13,5,5,7,4,6,4
Berovo Snow,18.4,16,5,5,2,0,0,0,0,0,0,0,3,1
Berovo Fog,7.0,7,0,1,1,0,0,0,0,0,1,0,3,1
Bitola Rain,83.2,127,12,18,17,4,12,11,10,4,9,8,14,8
Bitola Snow,19.8,19,5,5,4,0,0,0,0,0,0,0,3,2
Bitola Fog,15.2,24,10,1,1,0,0,0,0,0,0,1,3,8
Demir Kapija Rain,63.4,95,8,12,12,5,9,12,7,1,7,5,10,7
Demir Kapija Snow,10.0,4,2,1,1,0,0,0,0,0,0,0,0,0
Demir Kapija Fog,24.2,29,2,2,1,1,1,0,0,0,2,2,5,13
Kriva Palanka Rain,93.8,127,11,14,17,8,17,18,8,5,8,4,10,7
Kriva Palanka Snow,23.6,21,10,6,0,0,0,0,0,0,0,0,3,2
Kriva Palanka Fog,11.0,13,2,2,0,1,0,0,0,0,0,0,3,5
Ohrid Rain,93.6,107,13,12,19,6,12,5,6,5,7,8,11,3
Ohrid Snow,13.8,11,2,5,1,0,0,0,0,0,0,0,2,1
Ohrid Fog,2.0,2,0,0,0,0,0,0,0,0,0,0,0,2
Prilep Rain,78.4,102,11,12,16,5,16,10,4,4,0,8,12,4
Prilep Snow,20.0,16,6,5,2,0,0,0,0,0,0,0,2,1
Prilep Fog,6.6,13,2,2,0,0,0,0,0,0,0,0,3,6
Skopje Rain,88.2,120,12,13,14,9,13,12,7,6,7,5,15,7
Skopje Snow,17.0,16,10,3,0,0,0,0,0,0,0,0,2,1
Skopje Fog,9.6,20,3,1,1,0,0,0,0,0,0,1,2,12
Shtip Rain,76.4,105,10,13,14,5,10,15,6,4,7,2,13,6
Shtip Snow,12.2,10,4,3,0,0,0,0,0,0,0,0,2,1
Shtip Fog,10.6,15,7,0,0,0,0,0,0,0,0,1,4,3
